iter	Passed	Remaining
536	4615	3979
537	4624	3971
538	4632	3962
539	4640	3953
540	4649	3944
541	4657	3935
542	4665	3926
543	4674	3918
544	4682	3909
545	4691	3901
546	4699	3892
547	4707	3882
548	4715	3874
549	4724	3865
550	4732	3856
551	4740	3847
552	4749	3839
553	4757	3830
554	4765	3821
555	4774	3812
556	4783	3804
557	4791	3795
558	4799	3786
559	4807	3777
560	4815	3768
561	4823	3759
562	4831	3749
563	4838	3740
564	4846	3731
565	4854	3722
566	4862	3713
567	4870	3704
568	4878	3694
569	4886	3686
570	4894	3677
571	4902	3668
572	4910	3659
573	4918	3650
574	4927	3641
575	4935	3632
576	4943	3624
577	4951	3615
578	4960	3606
579	4968	3597
580	4976	3588
581	4984	3579
582	4992	3570
583	5000	3561
584	5008	3553
585	5017	3544
586	5025	3535
587	5033	3526
588	5041	3517
589	5049	3508
590	5057	3500
591	5066	3491
592	5074	3482
593	5082	3473
594	5090	3464
595	5098	3455
596	5106	3447
597	5114	3438
598	5123	3429
599	5131	3420
600	5139	3411
601	5147	3403
602	5155	3394
603	5164	3385
604	5172	3376
605	5180	3368
606	5188	3359
607	5196	3350
608	5205	3341
609	5212	3332
610	5221	3324
611	5229	3315
612	5237	3306
613	5245	3297
614	5254	3289
615	5262	3280
616	5270	3271
617	5279	3263
618	5287	3254
619	5294	3245
620	5302	3236
621	5311	3227
622	5319	3218
623	5326	3209
624	5335	3201
625	5343	3192
626	5351	3183
627	5359	3174
628	5367	3166
629	5375	3157
630	5384	3148
631	5392	3139
632	5401	3131
633	5409	3122
634	5417	3114
635	5425	3105
636	5433	3096
637	5440	3087
638	5449	3078
639	5456	3069
640	5465	3060
641	5473	3052
642	5482	3044
643	5490	3035
644	5499	3026
645	5507	3018
646	5515	3009
647	5524	3000
648	5532	2992
649	5540	2983
650	5547	2974
651	5555	2965
652	5563	2956
653	5572	2948
654	5581	2939
655	5588	2930
656	5597	2922
657	5606	2913
658	5614	2905
659	5622	2896
660	5631	2888
661	5639	2879
662	5648	2870
663	5656	2862
664	5664	2853
665	5672	2844
666	5680	2836
667	5688	2827
668	5696	2818
669	5704	2809
670	5713	2801
671	5721	2792
672	5730	2784
673	5738	2775
674	5746	2766
675	5754	2758
676	5763	2749
677	5770	2740
678	5778	2731
679	5786	2723
680	5795	2714
681	5803	2705
682	5811	2697
683	5819	2688
684	5827	2679
685	5835	2670
686	5843	2662
687	5851	2653
688	5859	2644
689	5867	2636
690	5875	2627
691	5883	2618
692	5891	2610
693	5899	2601
694	5908	2592
695	5917	2584
696	5925	2576
697	5933	2567
698	5941	2558
699	5949	2549
700	5957	2541
701	5965	2532
702	5974	2523
703	5982	2515
704	5992	2507
705	5999	2498
706	6007	2489
707	6015	2480
708	6023	2472
709	6031	2463
710	6039	2454
711	6047	2446
712	6055	2437
713	6063	2428
714	6071	2420
715	6079	2411
716	6087	2402
717	6095	2394
718	6103	2385
719	6111	2376
720	6120	2368
721	6128	2359
722	6135	2350
723	6143	2342
724	6152	2333
725	6160	2324
726	6168	2316
727	6176	2307
728	6185	2299
729	6193	2290
730	6201	2282
731	6210	2273
732	6219	2265
733	6228	2257
734	6237	2248
735	6245	2240
736	6253	2231
737	6261	2223
738	6270	2214
739	6277	2205
740	6287	2197
741	6295	2188
742	6303	2180
743	6312	2171
744	6320	2163
745	6328	2154
746	6336	2146
747	6345	2137
748	6352	2128
749	6361	2120
750	6369	2111
751	6377	2103
752	6386	2094
753	6394	2086
754	6402	2077
755	6410	2069
756	6419	2060
757	6427	2052
758	6436	2043
759	6443	2034
760	6452	2026
761	6460	2017
762	6468	2009
763	6476	2000
764	6484	1991
765	6492	1983
766	6500	1974
767	6508	1966
768	6517	1957
769	6525	1949
770	6533	1940
771	6541	1931
772	6549	1923
773	6557	1914
774	6566	1906
775	6574	1897
776	6582	1889
